Iter	f-f*	Time
0	0.66822104	0.9258
1	0.29654757	1.6872
2	0.29111065	2.8412
3	0.26882337	3.8114
4	0.26232781	4.5558
5	0.25531477	5.4563
6	0.25418470	6.2822
7	0.25469132	7.1924
8	0.25512667	8.0416
9	0.25509764	8.7611
10	0.25473534	9.4455
11	0.25435259	10.2928
12	0.25416410	11.1266
13	0.25415835	11.9331
14	0.25422438	12.9022
15	0.25428150	13.5885
16	0.25428570	14.5300
17	0.25425748	15.4445
18	0.25422993	16.4565
19	0.25421498	17.2226
20	0.25421782	18.1905
21	0.23436156	18.9469
22	0.23208965	19.9136
23	0.23125113	20.7521
24	0.23113719	21.4517
25	0.23113022	22.5779
26	0.23113453	23.6592
27	0.22423027	24.6505
28	0.22390075	25.4486
29	0.22386426	26.6175
30	0.22386525	28.5611
31	0.22386658	29.5024
32	0.22305415	30.4328
33	0.22305150	32.3886
34	0.22297702	33.9348
35	0.22296986	34.8964
36	0.22296915	36.0129
37	0.22296908	37.2341
38	0.22296907	37.3486
39	0.22296907	38.8713
40	0.18098170	39.8078
41	0.11695112	41.1028
42	0.13205115	41.9399
43	0.14483660	42.8303
44	0.14130275	44.0920
45	0.14068136	44.8911
46	0.14084120	45.8381
47	0.14102529	46.5563
48	0.14102207	47.4687
49	0.14096155	48.4240
50	0.11224440	49.1486
51	0.10902476	49.9621
52	0.10771630	51.2903
53	0.10751635	52.0849
54	0.10749310	53.2383
55	0.09610906	54.2607
56	0.09544716	56.0702
57	0.09537325	57.0712
58	0.09537243	58.2391
59	0.09537378	60.1678
60	0.09402992	61.2726
61	0.09403049	62.3039
62	0.09392696	63.3984
63	0.09391774	64.8774
64	0.09391683	65.9207
65	0.09391674	67.0199
66	0.11391168	67.1571
67	0.11391168	68.2772
68	0.10816185	69.1132
69	0.07881928	70.0746
70	0.09838371	71.0532
71	0.10819747	71.8300
72	0.10600862	72.5999
73	0.10684276	73.5953
74	0.10709730	74.4171
75	0.10683984	75.4532
76	0.10683784	76.5714
77	0.10691539	77.3233
78	0.10690458	78.3669
79	0.06618837	79.2001
80	0.06200346	79.9420
81	0.06019436	80.6762
82	0.05989370	81.5827
83	0.05985016	82.5091
84	0.04278278	83.5102
85	0.04147592	84.2038
86	0.04129964	85.0028
87	0.04129537	86.1275
88	0.03845718	86.8759
89	0.03849195	87.7133
90	0.03848996	88.7767
91	0.03829581	89.6438
92	0.03829631	90.5729
93	0.03828229	92.0734
94	0.03828099	93.2214
95	0.03828086	94.3403
96	0.05710180	94.4620
